"","v1_value","v2_value","judgement_convicted_binary","punishment_prison_days","punishment_fine","punishment_share_max_prison_sentence","n","v1","v2","restriction"
"53","40 - 55","4",0.8274231678487,91.9230769230769,13758.5910652921,0.051474825994475,423,"judge_age_groups","defendant_net_income_quantile",""
"54","< 40","1",0.866071428571428,76.3768472906404,3366.07669616519,0.054017031231628,448,"judge_age_groups","defendant_net_income_quantile",""
"55","< 40","2",0.856,61.3476297968397,5505.58510638298,0.0538144237222042,500,"judge_age_groups","defendant_net_income_quantile",""
"56","< 40","3",0.859832635983264,57.3929411764706,9160.32171581769,0.062621987476312,478,"judge_age_groups","defendant_net_income_quantile",""
"57","< 40","4",0.86073500967118,36.7207792207792,18989.5800524934,0.0425041157415357,517,"judge_age_groups","defendant_net_income_quantile",""
"58","> 55","1",0.784172661870504,212.100418410042,3877.09497206704,0.0730925721377232,278,"judge_age_groups","defendant_net_income_quantile",""
"59","> 55","2",0.869281045751634,82.9751773049645,4718.22222222222,0.0702072633252867,306,"judge_age_groups","defendant_net_income_quantile",""
"60","> 55","3",0.770547945205479,88.8744939271255,7328.28042328042,0.0648940195001294,292,"judge_age_groups","defendant_net_income_quantile",""
"61","> 55","4",0.818791946308725,65.1346153846155,16104.5652173913,0.0535435388742773,298,"judge_age_groups","defendant_net_income_quantile",""
"62",NA,"1",0.878378378378378,101.090909090909,2906.77966101695,0.0445100039550118,74,"judge_age_groups","defendant_net_income_quantile",""
"63",NA,"2",0.935064935064935,89.4054054054054,6637.70491803279,0.0932224805817299,77,"judge_age_groups","defendant_net_income_quantile",""
"64",NA,"3",0.879120879120879,68.7142857142857,8313.38028169014,0.0704594644320672,91,"judge_age_groups","defendant_net_income_quantile",""
"65",NA,"4",0.83,43.2183908045977,13446.3768115942,0.0460124571260232,100,"judge_age_groups","defendant_net_income_quantile",""
"66","40 - 55","0",0.838129496402878,96.7037037037037,4563.24324324325,0.0558126317896044,278,"judge_age_groups","case_is_not_oslo",""
"67","40 - 55","1",0.833893745796906,116.525581395349,8482.23135755258,0.063713272511886,1487,"judge_age_groups","case_is_not_oslo",""
"68","< 40","0",0.877862595419847,50.1327683615819,5423.92026578073,0.0417976389404142,393,"judge_age_groups","case_is_not_oslo",""
"69","< 40","1",0.856129032258064,59.1866859623734,10471.2585616438,0.057701061676871,1550,"judge_age_groups","case_is_not_oslo",""
"70","> 55","0",0.865384615384615,215.517985611511,6892.52336448599,0.0709658171723784,156,"judge_age_groups","case_is_not_oslo",""
"71","> 55","1",0.803536345776032,93.3869516310462,8278.19624819625,0.0650226666972325,1018,"judge_age_groups","case_is_not_oslo",""
"72",NA,"0",0.861111111111111,86.09375,6887.93103448276,0.0408496437314063,36,"judge_age_groups","case_is_not_oslo",""
"73",NA,"1",0.879084967320261,71.9175627240144,8202.1645021645,0.067661528632667,306,"judge_age_groups","case_is_not_oslo",""
"74","0","40 - 55",0.835616438356165,104.762152777778,10391.5208333333,0.0560906832468706,657,"judge_is_woman","defendant_age_groups",""
"75","0","< 40",0.850961538461539,91.8858024691357,6378.58048780488,0.0652831098890875,1456,"judge_is_woman","defendant_age_groups",""
"76","0","> 55",0.81496062992126,77.8202764976958,11669.2307692308,0.0581097454327503,254,"judge_is_woman","defendant_age_groups",""
"77","0",NA,0.805555555555556,89.3548387096774,6568.18181818182,0.0588760600130463,36,"judge_is_woman","defendant_age_groups",""
"78","1","40 - 55",0.854107648725212,94.7304625199364,11692.1401869159,0.0571186356333856,706,"judge_is_woman","defendant_age_groups",""
"79","1","< 40",0.83016393442623,81.6910994764398,7104.88765088207,0.0568507886068324,1525,"judge_is_woman","defendant_age_groups",""
"80","1","> 55",0.83203125,86.5022624434388,12132.044198895,0.0565480444709152,256,"judge_is_woman","defendant_age_groups",""
"81","1",NA,0.862745098039216,87.1063829787234,11381.5789473684,0.0500045478649477,51,"judge_is_woman","defendant_age_groups",""
"82",NA,"40 - 55",0.875,47.5443037974684,11481.6901408451,0.0685743881520137,88,"judge_is_woman","defendant_age_groups",""
"83",NA,"< 40",0.88235294117647,76.841726618705,6592.6724137931,0.0550024724944404,153,"judge_is_woman","defendant_age_groups",""
"84",NA,"> 55",0.871794871794872,96.4,7693.54838709678,0.0867179301738563,39,"judge_is_woman","defendant_age_groups",""
"85",NA,NA,0.666666666666667,145,0,0.493150684931506,3,"judge_is_woman","defendant_age_groups",""
"86","0","0",0.846075433231396,98.7936781609198,8149.9964838256,0.0649889464128823,1962,"judge_is_woman","defendant_is_woman",""
"87","0","1",0.815873015873016,68.8134328358208,7450.49504950495,0.0458938007873851,315,"judge_is_woman","defendant_is_woman",""
"88","0",NA,0.849206349206349,78.0446428571428,8235.05882352941,0.051185683892589,126,"judge_is_woman","defendant_is_woman",""
"89","1","0",0.838817358130663,89.5693391115925,9185.19722955147,0.0585625138796728,2097,"judge_is_woman","defendant_is_woman",""
