"","term","estimate","std.error","statistic","p.value","sig_level"
"51","convicted_theft_of_motor_vehicles_etc",0.587540219399092,0.213056158557567,2.75767770984353,0.00582135614247488,"***"
"52","convicted_road_traffic_act_other_4",-0.0522776150189999,0.245364393777616,-0.213061130077338,0.831279282223676,"not sig."
"53","convicted_incorrect_explanation",-0.73908105685655,0.208775797113341,-3.54007057846515,0.000400020038943565,"***"
"54","convicted_document_forgery",0.7047265191449,0.254219062077311,2.77212303981589,0.00556919815319044,"***"
"55","convicted_breach_of_the_duty_of_identification",0.541648915125782,0.184686650317627,2.93279949684639,0.003359207533733,"***"
"56","convicted_violation_in_prison",-0.253082153589738,0.249273252847744,-1.01528002181734,0.309972364870596,"not sig."
"57","group1_mitigating_confession",0.234157531010261,0.0567439646047696,4.12656275678311,3.68225551625483e-05,"***"
"58","group1_aggravating_other",0.111031280446845,0.0653944960737545,1.69786888978576,0.0895325101209122,"*"
"59","group1_aggravating_repeated_offense",0.460556579891692,0.0623436035821988,7.3873910622516,1.4973772040187e-13,"***"
"60","group1_aggravating_driving",0.0322477329038317,0.0820376697452773,0.393084457468858,0.694257103200197,"not sig."
"61","group1_mitigating_processing_time",-0.0498746581040689,0.0639096175577251,-0.780393624778315,0.435159219237405,"not sig."
"62","group1_aggravating_life_health",0.177672529573521,0.0821512181279369,2.16274978779773,0.0305604294826367,"**"
"63","group1_mitigating_other",0.00481922685524029,0.13976426667533,0.0344811085828918,0.97249350655677,"not sig."
"64","group1_aggravating_victim",0.307971908478998,0.122366831625401,2.51679237247709,0.0118428595833757,"**"
"65","group1_aggravating_threats",0.249067634347512,0.123497439165975,2.01678379753913,0.0437180805127063,"**"
"66","group1_aggravating_place",0.169949176559521,0.112197050562729,1.51473836172282,0.129838675438835,"not sig."
"67","group1_aggravating_severe",0.205763614630525,0.103615728683712,1.98583378454656,0.047051783068996,"**"
"68","group1_aggravating_preventative",0.0664269093370622,0.136095003616455,0.488092197155655,0.625484537715301,"not sig."
"69","group1_aggravating_violation",0.15013062880158,0.0936781148215822,1.60262222491898,0.109018083923294,"not sig."
"70","group1_aggravating_cumulative_offense",0.246401878557927,0.120101325780018,2.05161664084579,0.0402069336655832,"**"
"71","group1_aggravating_children",-0.0322869155542856,0.150641591711347,-0.214329357433719,0.830290226002138,"not sig."
"72","group1_aggravating_drugs",-0.0716463486069935,0.122589604311632,-0.584440654730097,0.558923881301314,"not sig."
"73","group1_mitigating_burden",-0.137536365101344,0.153798362218402,-0.894264172371583,0.3711805644387,"not sig."
"74","group1_mitigating_cause",-0.150932137856817,0.140948839418586,-1.0708292347735,0.284246219247839,"not sig."
"75","group1_aggravating_object",-0.121092287749932,0.192909636243412,-0.627715080013621,0.530190604787006,"not sig."
"76","group1_mitigating_potential_rehabilitation",-0.143657179349127,0.241401748153715,-0.595095853480116,0.551779400204865,"not sig."
"77","group1_mitigating_minor",-0.449761238630063,0.204016220714658,-2.20453666406804,0.0274866244217121,"**"
